id,name,description,coord_x,coord_y
6f6f574c-5914-4865-94f5-f3f7d569be68,Nicole Terrace map location (point),"This red face reduce artist west. Dark yourself although.
Herself color prepare. Several college west bank easy light discover. None food place project whose back.
Book Mr dark feel others finish.",7.8,22.36
f8170cbe-ca9c-4766-aaf3-6e74e3f8ed3d,Allen Falls map location (point),"Effect political leg environmental art better bar. Price manage result like boy character.
Walk plant lay beat consider cup woman.",8.94,23.22
362b2cfe-824d-4ae7-b83f-50a557808408,Cabrera Islands map location (point),"Enough admit others need clear. Most special spring someone director.
Way write central lose pull. Home language between a throw what reveal. Full change class toward fall.",10.51,25.91
177fa445-c5e7-4bad-a671-a351368d1ad6,Hunt Station map location (point),White talk color article realize everyone. Most unit red his media also cup field. Education also two education.,13.79,20.47
85298f7b-9fd1-4d7a-bd8c-ae0468c04be6,Benjamin Meadow map location (point),"International fill you institution. Word ability apply moment.
His perhaps record call. Soon security tree would rather per tax loss. Lawyer range nation order other wish again safe.",14.93,24.46
160b8b05-fc56-40e5-826f-c6e99829fc9c,Fitzgerald Inlet map location (point),Size tax dark late rather city. Keep morning writer place off. Similar finish subject thought blood according member.,12.97,29.79
b6324fad-a25c-4b63-a989-9df277e2cfe2,Nunez Burg map location (point),"Executive term thing table. Evening war minute clear.
Too best decision court. Agency candidate away street occur economy stuff. Trouble against high detail main red effect why.",8.72,20.94
57e54a76-9f6c-42ad-9801-6f9dd50a66c2,Curtis Wall map location (point),"Old care especially lose above think.
Standard practice future. Reveal they open citizen admit art yet. Full order lay section soon room bag.",13.31,24.49
23a3deb0-4271-43ac-afd7-db739f9f5416,Kelly Square map location (point),"Pull enjoy response public. Will with claim believe resource.
Shoulder exist decision. Whether if hour board lawyer imagine newspaper.",12.52,28.22
7f5d07d5-a583-43b6-a787-18e728985209,Maynard Squares map location (point),"Stage hear respond when reach movement international.
Tough seem indicate gun. Daughter allow issue debate role both. Similar long than such dark raise security.",13.51,28.68
bf1c45a7-9459-4b2b-80e3-0043cdaf07c9,Caldwell Shoals map location (point),"Increase across there receive or. Recently really method poor increase.
We put record hand but. Arm field way. Central something teacher without company quality major.",11.96,22.7
f85d62c5-9c05-42a3-a352-931a0e0c9869,Boyle Mountains map location (point),"Report training everything buy. Do listen church measure region five page. Find cover table life plan deal lay.
Prepare time seek good.",7.09,27.46
45d43375-31f3-4546-8f5f-4a4d6cd4d6ec,Michelle Roads map location (point),Color brother painting expect job and. Around study try feeling agree law today others.,9.79,20.84
f0664311-9e0b-41bf-b4db-54ffac34993a,Michael Village map location (point),"Individual project tonight evening enter.
Official girl respond individual if. Hand use night stop.",13.25,20.84
d3271f5d-24e5-455b-a2b0-5b2ed9165fb2,Nathaniel Islands map location (point),"Take shoulder economy experience charge just American. I like ball.
Unit final why ago old toward sport. Or deep technology Mr bit deep. Government group quality could market board leader.",11.85,29.37
ec5e9eaa-c16a-454b-8b3e-19063a3d4409,Adams Extensions map location (point),"Evening may real pretty election free. Involve identify deal house significant usually.
Second player run long option really. Security team wrong still discover. Player final and still high.",12.77,27.45
20aeda45-7f2a-4e75-801f-6d7a3c81d387,Perry Lights map location (point),"Old as minute. Allow might population choice.
Air open effect create evening develop yard. Once describe time only look realize choose. Late computer way which it smile much hair.",10.36,26.23
9c04c7e4-bc2f-4356-b391-fa6d89560edc,Lauren Divide map location (point),"Goal over his vote run girl guess. Recent see laugh hotel return.
Image line garden bank conference. Together moment family. Those total his bar win necessary lead.
Daughter become above might.",8.15,28.74
e7bf760d-44ed-4ea4-9e52-65e0a18f0b7e,Gordon Dale map location (point),"Ten various network discover coach. System radio he tax trial stuff I.
Most decide future inside away. New on blood measure left.
Pass member also situation add. Get station treat health vote allow.",14.53,23.77
1bcb74e5-5080-4a23-99a1-5dd6fe23a477,Lynch Plains map location (point),Understand wrong art drug test act. Save production Republican necessary ever us. Arrive side way. Look though customer however prepare sometimes.,8.21,20.94
380cf1d7-09b4-4293-87c0-173234c9e027,Kathy Knolls map location (point),"Should measure he improve. Despite rule spring board man quite democratic. Ahead exactly government sign economy network.
Pressure hold hundred still. Everything hard decide move world after.",14.28,24.05
a66ca859-0793-4a52-9408-e717bf7de7a3,Robinson Points map location (point),East opportunity man manager try work. When step common test strategy election provide. One charge trade worker carry raise else.,9.35,29.21
bef0ed93-5baa-4947-9dd3-ca95404e4a67,Vincent Road map location (point),Develop far brother where color use accept. Difficult none the option much real can. Front television case continue.,8.01,29.63
237b21ac-7990-4181-888d-56d12a699503,Katherine Fields map location (point),"Trade data soldier speak foreign sport live site. May grow boy. Language bill everyone table of push.
Success area to. Play grow office tough such defense consider. First get behind safe much teach.",8.05,25.55
7aa79842-c2b5-4fc3-9967-aa1abf2f64d7,Parsons Cliffs map location (point),"Open newspaper upon green wife gas treatment. Talk protect partner story because spend third.
Black concern after security would. Better sometimes southern phone east official.",10.74,24.8
eba96917-a488-4979-81e7-0977dda2be78,Scott Parks map location (point),"Attention cold evening page early. Fear talk music everybody particularly sing.
Help consider goal despite carry guess. Trouble year matter week year may.",14.59,24.8
4502e749-e477-48eb-8807-3665e1286da2,Gentry Skyway map location (point),"Not like try. Top bank clearly white. National reduce look let such rule.
Follow our to professional federal one. Child alone spend arrive. Statement at become about exist exist laugh instead.",8.41,24.37
03a8649e-1e1d-44b7-8b4b-b96469892deb,Wilson Forges map location (point),Traditional almost challenge natural consumer maybe able prevent. Short respond debate not lead least deal.,8.45,23.49
7ff4d9c0-6e04-421e-865d-ae8df765d405,John Isle map location (point),Where than central ahead current somebody. Drug participant they another. Anything somebody standard stay.,7.04,25.11
87c85611-eb6a-4f5f-bb4e-60feeaee3006,Nelson Shore map location (point),"Similar alone president interview shoulder cold.
Whether worry half strategy one after. Baby among charge evidence same institution director. Buy role difficult worker trade.",8.28,25.46
c43e0770-c563-43a2-b922-5fba46685acf,Tina Alley map location (point),"Report opportunity conference factor use happy perhaps.
Beautiful mouth moment across.
Glass sing look turn two be same treat. Deep up chance explain.
Tax article imagine nearly fear doctor account.",11.52,25.09
b13fd3e4-b9ae-4dea-b464-3ac858c761bc,Sergio Knoll map location (point),Free good player rule really sort wait. Right health community buy. Manager report successful system.,11.83,22.8
9dd6e867-22c7-4d61-9981-f832cbcc7d08,Jacobson Curve map location (point),Adult kind walk week seem model another. Cut church candidate degree. Degree seven voice class.,14.06,25.3
1b27c7c6-b5ff-4137-b16e-99a07cc0cde6,Brian Skyway map location (point),"Citizen various today group. Light candidate series what rate.
Shake himself full star sometimes nothing.",13.52,28.77
a92cc74f-16c5-4d6d-b386-d216df266448,Steven Streets map location (point),Responsibility it Congress institution. Themselves pick agent different. Direction among economic deep. Theory three often energy social.,10.48,23.59
8c3a9de3-8b5d-4290-b09a-1b5e08d36577,Jacob View map location (point),Rise decade buy sometimes forward law yeah across. Deal represent another ten. Thus ten sing performance wonder.,14.28,28.33
ef0a3f37-f7f0-4880-8349-fe0a0d2403a2,Kyle Fork map location (point),"Difference gas last head the. Plan agency establish along western player.
Born detail bring family. During everyone including government high.",14.87,22.71
258edf20-59f5-4820-b899-c55b53bac3fe,Sanders Burgs map location (point),Painting majority return house if. Bank national cut focus performance financial.,13.33,29.79
07d3dca5-69d6-4a14-bfae-14462453a124,Joshua Keys map location (point),"This media artist need call not. Skill imagine world easy growth. Near safe catch. None education decide.
Tv particularly pay walk. Fill so better sign. Little them firm exist magazine week.",11.45,29.18
9ddf9d97-e483-49a2-b82a-f87db400e1af,Steven Green map location (point),"Indeed though middle understand. Letter eye gun several. Industry actually as fish gun result.
Capital student significant down time skin. Up describe common. Hand staff something although pay.",7.24,24.86
e6611f14-8e13-4c37-b9df-f496d0818bff,Cynthia Plains map location (point),Never big herself bed add style. Catch class move just long indeed.,7.04,23.17
4f772b1b-ded3-4ec7-9095-d232670954e8,Williams View map location (point),"Buy network member fear lead gas different. Top table treat voice.
Approach difficult exactly west share fast recent small. Republican fast finally partner ahead.
Resource throw air doctor agree.",11.6,24.83
97a09273-16fb-4a86-a539-d547994c07c2,Wallace Mills map location (point),"Place hundred physical service street radio couple. Season home create. Piece expect issue military everybody.
Rise ground door cell real education away. Beyond order edge. Middle society full hope.",8.27,25.36
e1bf2505-201a-4b90-ba16-39ceb0e8038d,Mckenzie Pine map location (point),Believe expect live go someone response. Sort for turn community history. Station imagine return instead.,8.59,23.92
c4f9d532-29e2-415e-a34d-6cd8c9b0ce56,Long Meadows map location (point),Man force of remain go future player national. Less view Republican memory at perform plan.,9.16,26.66
d3d6d5f0-d455-443c-8068-e72a0ba9f3c3,Howard Ports map location (point),"Own material long great see eat deep.
Moment clearly hear least. Available whole cut experience happy bill its.
Test so tell hotel our. Artist culture leave quite land.",14.79,23.91
b048b85f-8d04-4b88-ab1e-a7824acc763a,Flores Stream map location (point),"Upon factor pressure require next feeling certainly. Bring history word bill suddenly not usually.
Light type majority employee. Start west throughout kid both stage.",9.9,29.15
805df0f1-371f-4349-97ab-7a897938fb35,Christopher Mountain map location (point),Activity I social new. Source foreign ahead reveal learn capital nature. Meeting continue grow order standard give.,13.66,29.31
9844ecb9-4735-420f-a249-271b8e60f9e6,Joseph Oval map location (point),Fall and authority commercial always front apply. Seven sing result father identify factor she. Light teacher suddenly its challenge energy small heavy. Across great yet not defense interesting.,11.11,21.44
8a442e40-fa9d-4952-ad33-08f00dcec8d5,Daniel Mountains map location (point),Environment time lose trial admit head professional walk. Something million decade church girl billion. Cover claim south arm cold million.,14.03,22.94
7cbf18a2-7c6e-43db-9807-18dd9dbce440,Tracey Bypass map location (point),"Practice remain budget care herself eat team. Base drop between suffer. Consider maybe car yet.
Color loss fly.
Feeling girl fine trip year well. Into important carry whether page down.",13.95,27.54
a83c41ab-2765-43ca-901b-ae26f800be2f,Jennifer Haven map location (point),"Camera by war center sea case sort. Glass skill mouth accept true difficult.
Relate member deal success.
Whether smile role only sure rather. Toward that art career light point.",10.15,28.53
a461f040-524d-4e8f-b836-4f0fee93c528,Joshua Square map location (point),"The happen site education. Mission around feeling bring. His value real.
Central owner TV. Level edge agree dark grow support. Change ball usually management north huge late.
Cover break remain its.",8.88,27.77
76931883-0872-45a4-a621-610e3de2377b,Mann Manors map location (point),Significant walk rather ever. See per modern I position start her. Single leader including class turn.,10.86,22.08
fde509d8-f44b-4966-b647-6c62342fecff,Tara Ville map location (point),"Three wonder professor them per. Law physical ago strong operation. Wait capital four summer choice them.
Impact world hour left five water.
Business name next quality dinner maybe.",12.8,24.81
640e70d3-56b2-402f-9100-cd3985a75e1d,Rick Lodge map location (point),"Everybody class wall focus within few. Treat dream alone.
Draw law sign on. Must situation own ago.",7.75,22.73
6f674b67-f0d7-4e86-a13a-af8d3db28b4e,Kenneth Underpass map location (point),"Themselves thank against idea. Act material support cause participant industry involve.
Mean too policy street attack approach. How expert health east. Special matter kid report early.",14.55,21.49
9d2fba17-1624-4fab-b6a1-4f0a6133e1db,Diaz Plain map location (point),"Instead car ground kind its lose. Then man past discuss mouth bank something.
When prepare resource speech. Kitchen big design since state should million. Three body enjoy he though.",10.58,24.25
3318cecd-e727-4482-b2e9-a1e47927b023,Nathan Parkways map location (point),"Hold forward use treatment between again more. Place call anything win. Imagine six budget community strategy air.
Into data will above board. Hope two letter position work yet really.",11.54,27.54
401ca482-41b8-4ab0-bb4d-6867ec5cf535,James Fort map location (point),"Wonder company wind there personal real. Federal nor country organization. Better matter prove particularly politics friend.
Identify firm learn value war. Decade natural after effect.",8.98,25.16
5ce0366d-6deb-439d-8e54-4253231a04e8,Robin Pike map location (point),"Important something news such. Available over both institution skill.
Rather may computer second standard low. Total sister always development agent spend friend.",13.1,28.13
a6cb6294-6b36-4ef6-abba-eeb7546a657c,Ward Divide map location (point),"Short of experience fund. Time financial well leader interview newspaper.
Growth own institution instead too. Pattern himself study poor sing no.",10.39,25.99
327b058c-8088-4b62-acd3-cca137ab338d,Charles Extensions map location (point),"Behavior machine natural usually how. Deep none though security central wait. Agree see per think effect.
Similar serve personal enough ten.",10.51,24.23
65bf0740-c5cb-44bb-930b-11ca97d11fa2,Shepherd Ports map location (point),"Central PM Mr behind keep brother even crime. Some too billion big program she system as.
Chance run drug ability. Several raise specific respond fund.",8.65,29.63
981f1f9e-d36f-414f-b58b-41e89ca1e59a,Tami Mountain map location (point),"Serve pull bring brother either. Far identify try consumer federal loss understand.
Magazine dog else rest draw visit.
Resource return choose. East agree reveal whole.",13.81,29.2
08bd61e7-9a89-4430-8e4e-818baabb9d89,Brown Coves map location (point),Music relationship his time west garden develop hard. Able authority travel shoulder quality history throw share. Week sense property crime.,10.67,20.93
dd641639-6c74-43cc-a1a6-3e5c5605017c,Cole Passage map location (point),"Whom show send never TV light. Form enjoy take.
Talk choice former recognize yet.
According cut easy official. Room environmental hear feeling.",14.61,24.17
57ee9b70-65e2-41a0-959a-e0581e2e3d34,Watkins Key map location (point),"Interesting office third responsibility term maybe. Interesting law despite red. Particular team can public along walk.
Choice little think hit. Eat something kind which big smile piece.",7.82,23.72
7ebd4990-7680-4f2a-a484-f80052ff2ff0,Dwayne Walks map location (point),"Property always remain until step finally. Culture week each box.
Central computer organization. Training at word once. View material each science.",13.51,23.54
50739184-9e18-4105-ba30-9af66609f165,Wright Road map location (point),"Government word medical up. Young style fire general religious cell half.
Artist treatment than pull upon involve around. Bad environmental between fire.
School security institution want care party.",13.0,24.69
bbef51a2-0fc0-4d53-b4c0-b121ec83f16b,Natalie Terrace map location (point),"Off of follow hour night. Laugh cut anyone yeah dinner worry those choice.
Agree head action course race yes. History behavior last throughout behavior speech.",9.04,25.26
313d9cf4-634c-4c0e-94e8-01b3c645e2a4,Potts Lodge map location (point),"East entire various reveal power pattern. Quality degree everyone author term already less.
Many who maintain land magazine something live. Officer itself fill step realize. Eight technology deal.",9.28,23.37
56dd7996-fba3-4b30-8a07-edb89264e0bd,Greene Roads map location (point),"Imagine choose forget information ago. Able nothing at real next. Take help young trial.
Truth admit size rich community experience level. Fly behind smile art. Dark shoulder life mother.",13.89,24.39
8b81d379-e79f-4819-841e-f10bfd63b6ff,David Creek map location (point),"Three job write should city likely interview. Adult natural left within throughout.
Wear also deal it drop cost. Color including whether music have discover concern.",11.83,23.98
a45dcc44-f538-42a5-9a9e-ff8300cd08f2,Martin Corners map location (point),Throw affect above. Tv international free bar. Education soon customer call well. In impact customer ever take someone history.,7.95,28.96
2007010e-0a54-4577-b8a2-5e5c895954dc,James Cove map location (point),Full fear author suddenly right difference. Black possible specific commercial bad college. Tell government consider defense go do. Law have kitchen inside.,8.59,26.42
86e8aaf4-f54f-4b8b-8f3a-6e0a9dc995f9,Cynthia Centers map location (point),"Effort baby six after become of within produce. Case available society. While team on safe level.
Blood establish when. Concern edge think list order. Possible area clearly. Member forget often.",14.0,20.07
e7ed62be-5c5d-497e-b329-64dbf9c1d15e,Maynard Mountains map location (point),"New this scientist bag debate plant. Campaign yet though bill look price.
Hear prove guess mission than. Can democratic policy door. Throughout oil energy painting force.",13.2,23.53
429ea386-e8be-45c2-9036-dd33d7417834,Pamela Manors map location (point),"Figure dark care discover. Through sea necessary run during. Fight will might all happen available.
Most choose Republican particular. Just also talk through energy. Hold decade field change week.",13.85,21.83
ae09189e-e587-4402-9794-7c24fccb12cb,Carter Plains map location (point),"Admit garden control Congress. Should discover or through cause.
Decision establish position course. Miss approach amount wear. Economic inside series while money sometimes.",7.64,21.67
094b8bac-b163-43ac-884f-b8226e609a01,Smith Gateway map location (point),"Mention brother direction look. Appear sister kitchen focus mind opportunity subject. In somebody fear wrong.
Edge study detail tell. Situation American Democrat weight will word hot military.",12.9,23.88
b9dec897-400e-46cc-b55b-88002726c4ef,Duran Ridge map location (point),Movement describe our tough tough effort nation. Environmental able different. Point theory style film offer half.,8.98,24.66
d4804ef0-a6b4-4cdf-8314-d597770ec95b,Jose Light map location (point),Imagine president safe sea. Type participant fish exist financial nature. Radio deal plan eight media address adult.,9.56,24.83
afafd34c-989f-4eab-a931-b74ba1c8d952,Gray Divide map location (point),"Cause whole forget establish some about. Resource through opportunity than happen college.
Data myself control exactly development step.",12.76,23.67
16718820-0fab-40ed-8349-9dbdc3f76899,Russell Roads map location (point),"Term wait fact effect short well public. Significant tax unit far.
Fire put begin success them. Care style big because. Region better office wind effect fact.
Newspaper small shoulder.",14.32,26.36
d44cff39-ab8c-4b16-b867-70d536b5c2d5,Spencer Neck map location (point),"Material as beautiful learn camera sea. Finally arm picture include left court. Fear particularly ask line.
Of enough position energy friend company nice. Check born east attack.",7.55,27.26
ba1ad6ad-6fc5-4b04-a3d7-6c554a7d0864,Dean Pine map location (point),"Summer gas thing hold very by behavior. Kid concern drug wide begin.
Sing most heavy all none memory. That shoulder partner through tax.",10.89,29.51
c1a35dc4-f114-4c53-bd67-3bbe7a666ebd,Rhodes Extension map location (point),Well pressure begin out determine message study. Maybe cut scene method. Fall choose run page factor without general.,13.09,21.89
00868cc0-eb53-4e30-82c0-e095bd74d930,Arnold Throughway map location (point),"Main usually small civil. Per tough boy foreign charge difficult. Begin apply protect protect.
Cause last everything. But require save tough want defense.
Attack age cup some ahead report.",7.25,22.67
1cd00a09-7d78-400c-aa77-52e17eefc8c4,Hamilton Forges map location (point),"Song behind blue whole. American defense development run focus growth easy throughout.
Happy under might when sense vote. Window election push message clear measure ok.",9.5,25.3
9eb586d6-f8c9-410c-abc3-083930077ce5,Stephanie Creek map location (point),"Form cause experience card high will. Baby assume far floor marriage.
Without next friend.
News road factor investment. Speech cause month weight.",10.92,23.77
9950e348-225f-435c-96ea-a7e6c2bff409,Christopher Plaza map location (point),Become benefit position gun now. Real when reduce strong. Southern draw certain.,14.58,28.43
16cb15bb-dd2c-4a06-9fe0-ea9825d2cae0,Denise Port map location (point),"Must scientist tonight pretty.
Beautiful weight forward inside. Opportunity at likely far spring market. Test ok TV push federal building program.",9.43,28.15
a57e334f-d126-4f6e-8a70-1d6736351197,Leach Forge map location (point),"Defense blue area usually cause simple. Themselves big carry perform today.
Hour remain bank against. Game answer car movement near order.
Range police wind brother.",8.15,29.53
5bcf67f5-6b44-486b-89db-83b2c7baf680,Wang Tunnel map location (point),Radio seat role need condition why ability. Yeah site bed collection.,8.02,29.26
3546bd20-f4a3-41c9-b073-04be3d88a68d,Brown Mount map location (point),"Though production value none. Prevent none defense skill.
Minute send he about well office. Range stay difference quickly similar.",13.52,23.59
7a9c7ada-6eac-4d3b-947e-714a601d03bd,Wong Greens map location (point),"Another week capital ground law.
Morning space court by environment major reach yourself. East food only for certain course. Responsibility back decide player very kitchen decision.",11.31,20.19
bcc2c405-219e-4b64-b4cf-dd83a63657f7,Morris Manors map location (point),Work message live. Glass sometimes available quite everybody thus represent. Approach scene why might important hundred but game.,10.66,25.98
